f_preferred_name,Fe,C,O,Mg,Si,S,Ca,Ti,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
2MASS 19110844+4406544 ,-0.39 ,-0.64 ,-0.38 ,-0.03 ,0.09 ,,-0.27 ,-0.11 ,287.7851886 ,44.1151119 ,50.976 ,-158.913 ,161.812 ,232.45 ,N/A ,,,,,,,5324.5 ,4.19 ,0.92 ,1.28 ,
HIP 32812 ,0.03 ,0.02 ,,-0.2 ,0.037 ,,0.052 ,0.232 ,102.6001990 ,-51.0456522 ,-7.413 ,33.165 ,-42.035 ,54.05 ,N/A ,K0 ,9.96 ,0.942 ,,,,4977.0 ,4.41 ,0.82 ,0.78 ,
HIP 32813 ,-0.15 ,,,-0.04 ,-0.01 ,,-0.05 ,-0.04 ,102.6052816 ,-69.9862469 ,-12.384 ,55.381 ,-155.799 ,165.81 ,N/A ,K0III ,6.79 ,0.997 ,,,,4899.0 ,2.70 ,,10.95 ,
HIP 114570 ,0.04 ,0.22 ,-0.06 ,-0.08 ,-0.1 ,,0.07 ,0.12 ,348.1375191 ,49.4062027 ,15.529 ,-3.262 ,18.517 ,24.39 ,thin ,F1V ,4.52 ,0.302 ,-17.10 ,8.40 ,4.10 ,7161.3 ,4.16 ,1.60 ,1.73 ,
HIP 65583 ,-0.095 ,0.056 ,0.134 ,-0.0125 ,-0.043 ,-0.015 ,-0.0415 ,-0.0725 ,201.6851020 ,16.9486673 ,-68.295 ,-27.157 ,22.398 ,76.83 ,thin ,F8 ,8.01 ,0.510 ,-9.60 ,15.70 ,15.00 ,6115.0 ,4.11 ,1.15 ,1.56 ,
HIP 98353 ,-0.205 ,,,-0.07 ,0.03 ,,-0.03 ,-0.03 ,299.7383455 ,-26.1957662 ,51.606 ,-90.334 ,-51.182 ,115.94 ,thin ,G6IIIa:Ba0.3 ,4.85 ,0.882 ,-52.90 ,2.00 ,12.90 ,5131.5 ,2.83 ,,16.26 ,
HIP 98355 ,-0.52 ,-0.44 ,-0.23 ,-0.39 ,-0.49 ,-0.507 ,-0.49 ,-0.49 ,299.7439220 ,-46.0880451 ,17.778 ,-31.113 ,-37.222 ,51.67 ,thin ,F8Vm-2 ,7.50 ,0.478 ,-13.90 ,13.60 ,-12.20 ,6223.3 ,4.30 ,1.21 ,1.29 ,
HIP 57 ,,0.05 ,-0.1 ,0.0085 ,0.0425 ,-0.043 ,0.09 ,0.07 ,0.1680004 ,-69.6759657 ,10.181 ,0.030 ,-27.488 ,29.31 ,thin ,K1V ,8.24 ,0.863 ,22.90 ,-23.60 ,-19.20 ,5167.3 ,4.42 ,0.88 ,0.81 ,
HIP 65595 ,-0.055 ,-0.045 ,0.175 ,0.02 ,0.05 ,,0.04 ,0.01 ,201.7366920 ,78.6438700 ,-16.298 ,-6.498 ,87.364 ,89.11 ,thin ,G3IIIbFe-1CH1 ,5.75 ,0.769 ,-57.60 ,-20.00 ,6.60 ,5488.7 ,3.42 ,,6.68 ,
HIP 98365 ,-0.085 ,-0.25 ,-0.12 ,-0.18 ,-0.16 ,,-0.13 ,-0.23 ,299.7762966 ,70.3721633 ,44.234 ,-77.312 ,249.759 ,265.17 ,N/A ,G5 ,7.95 ,0.828 ,,,,5377.0 ,,,8.01 ,
HIP 65602 ,-0.2 ,0.04 ,,-0.1465 ,-0.2085 ,,-0.0875 ,0.005 ,201.7621050 ,-24.2904358 ,-25.235 ,-10.074 ,-12.263 ,29.81 ,thin ,K2+V ,8.73 ,0.911 ,-41.40 ,-25.60 ,-7.90 ,4971.5 ,4.42 ,0.82 ,0.74 ,
HIP 114699 ,-0.1 ,-0.009 ,-0.04 ,0.026 ,-0.06 ,-0.0895 ,-0.01 ,0.06 ,348.5274498 ,-62.7000034 ,13.119 ,-2.663 ,-25.936 ,29.19 ,thin ,G8V+ ,6.12 ,0.787 ,-65.40 ,-60.60 ,29.50 ,5351.0 ,3.99 ,0.92 ,1.97 ,
HIP 80 ,-0.52 ,-0.365 ,-0.155 ,-0.225 ,-0.395 ,-0.378 ,-0.385 ,-0.37 ,0.2428307 ,-11.8237401 ,70.128 ,0.297 ,-14.681 ,71.65 ,thick ,G2V ,8.40 ,0.566 ,-111.50 ,-91.50 ,-24.80 ,5862.7 ,4.05 ,1.07 ,1.33 ,
HIP 32851 ,-0.385 ,-0.26 ,-0.135 ,-0.257 ,-0.335 ,-0.43 ,-0.345 ,-0.16 ,102.7076290 ,-0.5408850 ,-6.529 ,28.954 ,-0.280 ,29.68 ,thin ,F3V ,5.78 ,0.396 ,24.40 ,-13.70 ,-9.40 ,6621.9 ,4.21 ,1.38 ,1.43 ,
HIP 81934 ,-0.01 ,0.08 ,0.19 ,-0.01 ,0.05 ,,-0.06 ,-0.06 ,251.0583391 ,65.2373933 ,-46.776 ,-136.298 ,312.398 ,344.03 ,thin ,K0 ,7.86 ,1.219 ,31.10 ,-35.30 ,-0.70 ,4578.0 ,,,17.11 ,
HIP 65626 ,-0.18 ,-0.23 ,,-0.143 ,-0.173 ,,-0.105 ,0.024 ,201.8253563 ,-39.9528112 ,-30.473 ,-12.204 ,-27.499 ,42.82 ,N/A ,K3V ,9.59 ,0.936 ,,,,4902.0 ,4.36 ,0.80 ,0.74 ,
HIP 114703 ,-0.55 ,,-0.38 ,-0.49 ,-0.43 ,,-0.62 ,-0.66 ,348.5315310 ,-8.9311716 ,35.007 ,-7.102 ,-5.613 ,36.16 ,thin ,G0V ,8.20 ,0.651 ,-62.80 ,-42.40 ,7.10 ,5481.0 ,4.53 ,0.96 ,0.88 ,
HIP 32868 ,0.11 ,0.06 ,0.02 ,0.08 ,0.11 ,-0.05 ,0.06 ,0.09 ,102.7434224 ,-17.8544074 ,-14.743 ,65.190 ,-21.529 ,70.22 ,thin ,G2V ,8.14 ,0.632 ,-74.50 ,-50.30 ,13.40 ,5960.5 ,4.17 ,1.09 ,1.43 ,
HIP 65639 ,0.26 ,-0.03 ,0.1 ,0.38 ,0.51 ,1.13 ,0.28 ,0.27 ,201.8631812 ,-15.9735828 ,-70.769 ,-28.396 ,-21.827 ,79.32 ,thin ,K0III-IIIbCN1.5CH0.5 ,4.76 ,1.096 ,-48.60 ,-17.90 ,3.30 ,4633.7 ,2.38 ,,13.06 ,
HIP 65641 ,0.055 ,0.09 ,-0.005 ,0.04 ,0.02 ,,0.02 ,0.02 ,201.8650555 ,44.7070318 ,-36.586 ,-14.682 ,39.021 ,55.47 ,thin ,G5 ,8.43 ,0.692 ,6.40 ,22.90 ,-6.90 ,5713.0 ,4.43 ,1.02 ,1.09 ,
HIP 32874 ,-0.0325 ,-0.015 ,0.016 ,-0.025 ,-0.04 ,,-0.006 ,0.009 ,102.7517891 ,25.7603599 ,-6.841 ,30.229 ,14.957 ,34.41 ,thin ,F9V ,6.98 ,0.600 ,-3.80 ,-30.80 ,-10.40 ,5970.0 ,4.34 ,1.09 ,1.19 ,
HIP 98413 ,-0.34 ,-0.36 ,,-0.347 ,-0.333 ,,-0.248 ,-0.12 ,299.9413726 ,-20.2104102 ,16.293 ,-28.287 ,-12.017 ,34.78 ,N/A ,K2+V ,9.23 ,0.920 ,,,,4902.0 ,4.45 ,0.80 ,0.72 ,
2MASS 23155829+3127462 ,0.25 ,0.3 ,0.15 ,0.21 ,0.135 ,,0.185 ,0.215 ,348.9929190 ,31.4628596 ,118.056 ,-22.963 ,73.593 ,141.00 ,N/A ,,,,,,,4690.0 ,4.39 ,0.75 ,0.75 ,
2MASS 19032487+3823028 ,0.26 ,0.25 ,0.21 ,0.22 ,0.25 ,,0.25 ,0.21 ,285.8537122 ,38.3841139 ,122.280 ,-430.588 ,354.572 ,571.03 ,N/A ,,,,,,,5380.5 ,4.40 ,0.93 ,1.00 ,
HIP 98416 ,-0.09 ,,-0.1 ,0.04 ,-0.09 ,,0.03 ,-0.04 ,299.9470012 ,-9.9582318 ,10.478 ,-18.187 ,-3.685 ,21.31 ,thin ,F9V ,5.88 ,0.598 ,53.10 ,-26.90 ,-1.80 ,5884.4 ,4.24 ,,,
HIP 32892 ,0.28 ,0.39 ,0.19 ,0.22 ,0.23 ,,0.27 ,0.2 ,102.7992609 ,40.4953377 ,-18.383 ,80.919 ,70.861 ,109.12 ,thin ,G0... ,8.94 ,0.711 ,-21.50 ,8.60 ,8.40 ,5761.0 ,4.10 ,1.03 ,1.50 ,
HIP 98431 ,-0.27 ,0.27 ,0.2 ,-0.22 ,-0.29 ,,-0.12 ,-0.265 ,299.9929040 ,-48.9753279 ,25.580 ,-44.319 ,-58.815 ,77.96 ,thin ,F8/G0(III)W(P) ,8.56 ,0.532 ,16.50 ,2.30 ,10.50 ,5960.0 ,4.50 ,1.15 ,1.23 ,
HIP 60096 ,0.39 ,0.304 ,0.3 ,0.325 ,0.315 ,0.29 ,0.31 ,0.285 ,184.8639125 ,-26.1073758 ,-71.150 ,-6.055 ,-34.993 ,79.52 ,thin ,G3V ,8.40 ,0.737 ,51.00 ,-39.40 ,-3.40 ,5729.0 ,4.01 ,1.00 ,1.63 ,
HIP 103787 ,-0.055 ,-0.1 ,,-0.023 ,-0.05 ,,0.028 ,0.279 ,315.4711567 ,-22.5826051 ,25.042 ,-24.633 ,-14.609 ,38.04 ,N/A ,K3.5V ,9.54 ,1.055 ,,,,4828.0 ,4.42 ,0.78 ,0.71 ,
HIP 98442 ,0.12 ,,,0.09 ,0.19 ,0.12 ,0.22 ,0.4 ,300.0340911 ,7.7606193 ,23.235 ,-40.189 ,6.326 ,46.85 ,thin ,F5 ,7.23 ,0.506 ,-12.50 ,-7.70 ,-3.40 ,6422.0 ,4.38 ,1.30 ,1.22 ,
2MASS 19150925-1552241 ,0.03 ,,,0.02 ,0.02 ,,0.03 ,-0.06 ,288.7885578 ,-15.8733596 ,93.126 ,-273.736 ,-82.219 ,300.61 ,N/A ,,,,,,,6051.0 ,4.18 ,1.13 ,1.42 ,
HIP 32916 ,0.35 ,0.23 ,0.1 ,0.31 ,0.27 ,0.18 ,0.32 ,0.31 ,102.8771514 ,40.8677571 ,-7.254 ,31.729 ,28.162 ,43.04 ,thin ,G0 ,8.10 ,0.729 ,-14.30 ,-25.80 ,1.10 ,5602.5 ,4.44 ,0.99 ,1.04 ,
HD 154905 ,0.055 ,,,0.15 ,0.12 ,0.22 ,0.16 ,0.24 ,256.3342149 ,54.4706322 ,-3.728 ,-15.332 ,22.097 ,27.15 ,N/A ,,,,,,,6427.0 ,4.25 ,1.30 ,1.42 ,
HIP 154 ,0.09 ,0.5 ,0.26 ,,-0.06 ,,0.03 ,,0.4900634 ,-6.0140746 ,126.295 ,1.080 ,-13.306 ,127.00 ,thin ,M2III ,4.41 ,1.631 ,-12.50 ,-38.10 ,-4.10 ,3647.0 ,,,,
HIP 98461 ,-0.145 ,,,-0.04 ,,,-0.03 ,-0.07 ,300.0663871 ,-37.7017226 ,45.545 ,-78.676 ,-70.266 ,114.90 ,thin ,G8/K0III ,5.96 ,0.989 ,15.40 ,2.00 ,-19.90 ,4887.0 ,2.68 ,,11.17 ,
HIP 171 ,-0.73 ,0.095 ,-0.3 ,-0.395 ,-0.53 ,-0.33 ,-0.54 ,-0.48 ,0.5430880 ,27.0817992 ,11.257 ,0.107 ,5.756 ,12.64 ,thin ,G5VFe-1 ,5.75 ,0.690 ,-8.80 ,-74.80 ,-34.30 ,5363.0 ,4.41 ,,,
HIP 65708 ,-0.026 ,0.07 ,0.07 ,0.1095 ,-0.0095 ,0.0145 ,,0.0305 ,202.0779579 ,-0.8401938 ,-41.605 ,-16.875 ,-0.658 ,44.90 ,thick ,G3/5V ,7.44 ,0.651 ,72.80 ,-31.10 ,-57.10 ,5725.4 ,4.26 ,1.06 ,1.32 ,
HIP 98482 ,-0.14 ,,,-0.1 ,-0.02 ,,-0.07 ,-0.07 ,300.1055316 ,-49.3509456 ,35.362 ,-60.988 ,-82.109 ,108.22 ,thin ,K0III ,6.18 ,1.056 ,74.50 ,-19.50 ,-2.40 ,4720.0 ,2.61 ,,10.38 ,
HIP 184 ,0.175 ,0.09 ,0.07 ,0.08 ,0.08 ,,0.13 ,0.09 ,0.5897621 ,11.0062375 ,33.214 ,0.342 ,6.460 ,33.84 ,thin ,K0 ,8.48 ,0.888 ,6.20 ,-14.70 ,9.70 ,5085.1 ,4.48 ,0.85 ,0.88 ,
HIP 65721 ,-0.03 ,0.065 ,-0.0075 ,0.07 ,-0.05 ,0.02 ,0.0135 ,0.015 ,202.1075341 ,13.7787898 ,-16.108 ,-6.543 ,4.264 ,17.90 ,thin ,G5V ,4.97 ,0.714 ,12.90 ,-51.40 ,-4.30 ,5531.6 ,3.97 ,0.96 ,1.92 ,
HIP 32955 ,-0.66 ,,-0.34 ,-0.5 ,-0.595 ,,-0.54 ,-0.555 ,102.9620628 ,41.5763122 ,-10.661 ,46.319 ,42.164 ,63.54 ,thin ,F8 ,7.85 ,0.439 ,27.10 ,28.90 ,-20.60 ,6269.8 ,4.13 ,1.23 ,1.31 ,
HIP 65725 ,0.005 ,0.042 ,0.0845 ,0.0155 ,-0.0015 ,,0.042 ,0.0215 ,202.1111720 ,15.7082990 ,-45.480 ,-18.478 ,13.806 ,50.99 ,thin ,F5 ,7.91 ,0.540 ,-16.30 ,-4.50 ,-13.10 ,6079.0 ,,,,
2MASS 19150050-1614245 ,0.09 ,,,0.07 ,0.04 ,,0.01 ,,288.7521344 ,-16.2401405 ,96.369 ,-283.859 ,-87.320 ,312.23 ,N/A ,,,,,,,5795.0 ,4.05 ,1.04 ,1.59 ,
2MASS 19303315+4422130 ,0.17 ,-0.03 ,-0.09 ,0.22 ,0.07 ,,0.17 ,0.08 ,292.6381764 ,44.3702924 ,75.633 ,-181.355 ,192.222 ,274.88 ,N/A ,,9.93 ,,,,,6363.5 ,3.96 ,1.30 ,2.10 ,
HIP 65737 ,-0.28 ,-0.22 ,-0.272 ,-0.12 ,-0.2 ,-0.319 ,-0.163 ,-0.187 ,202.1273027 ,-27.3918455 ,-30.030 ,-12.211 ,-16.798 ,36.51 ,thin ,F9.5V ,7.21 ,0.583 ,-41.90 ,-2.30 ,33.90 ,5892.2 ,4.40 ,1.07 ,1.18 ,
HIP 32970 ,0.32 ,0.385 ,0.2 ,0.35 ,0.34 ,0.325 ,0.325 ,0.3 ,103.0084347 ,-33.9155601 ,-8.646 ,37.424 ,-25.825 ,46.28 ,thin ,G0/2V ,7.20 ,0.614 ,-32.50 ,-21.40 ,-17.00 ,6043.2 ,4.32 ,1.09 ,1.44 ,
HIP 32971 ,-0.03 ,-0.12 ,,-0.1 ,-0.06 ,-0.28 ,-0.04 ,-0.04 ,103.0099376 ,-11.2045105 ,-10.423 ,45.110 ,-9.171 ,47.20 ,thin ,G4.5V ,7.43 ,0.721 ,-13.30 ,-5.40 ,-7.50 ,5489.0 ,,,,
HIP 65747 ,0.5 ,,0.33 ,,0.41 ,,0.29 ,0.26 ,202.1637190 ,28.4485902 ,-56.950 ,-23.199 ,33.317 ,69.94 ,thin ,G1/2V ,8.34 ,0.682 ,-16.60 ,-53.30 ,-14.90 ,5888.5 ,4.36 ,1.06 ,1.33 ,
HIP 212 ,,,,,0.07 ,,0.27 ,,0.6635165 ,-29.0752430 ,195.942 ,2.269 ,-108.956 ,224.21 ,thin ,F2V ,10.25 ,0.318 ,-16.60 ,-6.00 ,-7.40 ,6873.0 ,4.50 ,1.44 ,1.36 ,
HIP 213 ,0.35 ,0.09 ,0.16 ,0.17 ,0.04 ,,0.29 ,0.22 ,0.6670266 ,51.4723997 ,149.767 ,1.744 ,188.110 ,240.46 ,thin ,G5 ,7.70 ,1.003 ,-21.40 ,-18.60 ,-7.40 ,5026.0 ,,,9.86 ,
HIP 32984 ,,0.64 ,0.09 ,-0.12 ,0.005 ,,-0.03 ,0.15 ,103.0752103 ,-5.1737128 ,-1.971 ,8.485 ,-0.789 ,8.75 ,thin ,K3.5V ,6.57 ,1.071 ,-0.10 ,12.70 ,-19.80 ,4763.6 ,4.45 ,0.76 ,0.70 ,
HIP 32990 ,0.16 ,-0.2 ,-0.1 ,0.26 ,0.31 ,0.82 ,0.26 ,0.16 ,103.0952588 ,-5.3162766 ,-34.743 ,149.355 ,-14.269 ,154.00 ,thin ,K0III ,6.30 ,0.977 ,-22.80 ,-20.30 ,-17.60 ,5065.0 ,,,11.25 ,
2MASS 19262470+3858326 ,-0.2 ,0.13 ,-0.23 ,-0.16 ,-0.14 ,,0.07 ,,291.6029878 ,38.9757352 ,103.896 ,-262.370 ,228.317 ,362.99 ,N/A ,,10.10 ,,,,,7100.0 ,3.60 ,1.58 ,2.19 ,
HIP 32993 ,0.18 ,,,0.34 ,0.19 ,0.08 ,0.27 ,0.25 ,103.1035600 ,7.8961906 ,-22.390 ,96.189 ,13.697 ,99.71 ,N/A ,F5 ,7.60 ,0.491 ,,,,6455.0 ,3.89 ,1.31 ,2.16 ,
HIP 32994 ,0.33 ,0.287 ,0.26 ,0.32 ,0.285 ,0.34 ,0.255 ,0.27 ,103.1044965 ,-37.8506044 ,-14.014 ,60.199 ,-48.031 ,78.28 ,N/A ,G5V ,8.64 ,0.691 ,,,,5705.0 ,4.16 ,1.02 ,1.39 ,
HIP 98532 ,-1.08 ,-1.01 ,-0.57 ,-0.69 ,-0.78 ,-0.59 ,-0.77 ,-0.855 ,300.2510219 ,-12.2556544 ,31.091 ,-53.311 ,-13.406 ,63.15 ,thick ,F8/G2V ,7.72 ,0.571 ,71.30 ,-122.00 ,41.40 ,5686.1 ,3.87 ,1.00 ,1.76 ,
2MASS 19385108+4157571 ,-0.55 ,-0.57 ,-0.33 ,-0.48 ,-0.47 ,,-0.46 ,-0.33 ,294.7128397 ,41.9658806 ,95.952 ,-208.492 ,206.407 ,308.67 ,N/A ,,,,,,,5046.8 ,,,2.72 ,
HIP 65790 ,-0.055 ,-0.17 ,-0.02 ,0.1 ,0.01 ,0.6 ,-0.01 ,-0.07 ,202.3041686 ,10.8183078 ,-80.548 ,-33.042 ,16.637 ,88.64 ,thin ,K0III ,5.66 ,1.052 ,-12.50 ,-29.80 ,-0.10 ,4697.5 ,2.53 ,,11.16 ,
2MASS 06192947+1357031 ,-0.07 ,0.25 ,,-0.27 ,0.23 ,,0.12 ,0.045 ,94.8729051 ,13.9508242 ,-2.066 ,24.236 ,6.042 ,25.06 ,N/A ,,,,,,,3857.0 ,4.64 ,0.60 ,0.61 ,
2MASS 19503634+4021091 ,-0.1 ,-0.02 ,0.09 ,0.02 ,-0.04 ,,-0.01 ,0.04 ,297.6513942 ,40.3525524 ,123.946 ,-236.570 ,226.916 ,350.45 ,N/A ,,,,,,,5211.7 ,4.40 ,0.89 ,0.99 ,
HIP 98565 ,-0.45 ,,-0.28 ,-0.265 ,-0.41 ,-0.33 ,-0.37 ,-0.37 ,300.3162285 ,5.6482482 ,45.476 ,-77.772 ,8.910 ,90.53 ,thin ,F6IVm-2 ,7.45 ,0.438 ,31.10 ,11.30 ,0.60 ,6397.0 ,3.87 ,1.27 ,2.17 ,
HIP 33037 ,-0.195 ,-0.03 ,0.11 ,-0.0515 ,-0.1355 ,0.58 ,-0.06 ,0.04 ,103.2484982 ,-23.1076997 ,-6.425 ,27.291 ,-11.963 ,30.48 ,thin ,K3V ,9.03 ,0.976 ,-36.70 ,-56.50 ,22.80 ,4815.0 ,4.36 ,0.79 ,0.74 ,
HIP 65808 ,0.252 ,0.275 ,0.139 ,0.2685 ,0.222 ,0.144 ,0.221 ,0.245 ,202.3379708 ,-35.5709962 ,-24.342 ,-10.002 ,-18.821 ,32.35 ,thin ,G7IV-V ,7.25 ,0.724 ,-33.60 ,-12.50 ,-13.10 ,5662.6 ,4.33 ,0.99 ,1.14 ,
HIP 98589 ,0.214 ,0.195 ,0.07 ,0.21 ,0.18 ,0.0225 ,0.2285 ,0.189 ,300.3866675 ,-16.8689987 ,16.509 ,-28.154 ,-9.897 ,34.10 ,thin ,G2-V ,7.33 ,0.654 ,-31.90 ,-16.90 ,-13.00 ,5850.2 ,4.45 ,1.06 ,1.05 ,
HIP 33061 ,0.48 ,0.32 ,,0.4 ,0.45 ,,0.42 ,0.49 ,103.3035405 ,-44.9286124 ,-15.419 ,65.209 ,-66.840 ,94.64 ,N/A ,G6III ,8.90 ,0.794 ,,,,5483.0 ,3.98 ,0.96 ,1.66 ,
HIP 98599 ,0.35 ,0.28 ,0.355 ,0.34 ,0.35 ,0.39 ,0.4 ,0.43 ,300.4091043 ,-22.1108702 ,35.613 ,-60.679 ,-28.585 ,75.94 ,thin ,F7V ,8.09 ,0.556 ,-8.60 ,-19.10 ,4.10 ,6287.5 ,4.24 ,1.22 ,1.39 ,
HIP 33072 ,0.145 ,0.24 ,0.11 ,0.067 ,0.131 ,0.025 ,0.192 ,0.185 ,103.3184959 ,-74.7251868 ,-3.352 ,14.157 ,-53.273 ,55.22 ,thin ,F8V+A/F ,7.65 ,0.525 ,-44.00 ,-13.80 ,-8.10 ,6329.0 ,4.55 ,1.25 ,1.23 ,
HIP 305 ,0.22 ,0.22 ,0.34 ,0.3 ,0.24 ,0.23 ,0.215 ,0.24 ,0.9723717 ,-28.3937809 ,47.926 ,0.813 ,-25.911 ,54.49 ,thin ,G5IV ,7.64 ,0.741 ,-21.10 ,-15.70 ,17.40 ,5622.0 ,4.01 ,0.99 ,1.59 ,
HIP 98614 ,0.49 ,-0.37 ,0.11 ,0.02 ,0.24 ,0.4 ,-0.17 ,,300.4446463 ,45.4766301 ,38.460 ,-65.437 ,77.176 ,108.25 ,thin ,kA2mF2 ,7.53 ,0.313 ,-18.70 ,-12.40 ,-12.50 ,7300.0 ,3.80 ,1.65 ,1.93 ,
HIP 92895 ,-0.03 ,-0.185 ,-0.04 ,0.015 ,-0.06 ,0.31 ,-0.01 ,0.02 ,283.9203502 ,4.2653229 ,31.093 ,-125.448 ,9.639 ,129.60 ,thin ,G6/8IV ,8.00 ,0.869 ,45.50 ,-27.10 ,-20.00 ,5036.8 ,3.46 ,,4.46 ,
HIP 98621 ,-0.08 ,-0.1 ,0.025 ,-0.005 ,-0.07 ,-0.266 ,-0.039 ,0.01 ,300.4668709 ,-69.1879429 ,7.386 ,-12.555 ,-38.323 ,41.00 ,thin ,G4V ,8.11 ,0.674 ,-53.90 ,1.70 ,-15.40 ,5666.8 ,4.44 ,1.00 ,0.97 ,
HIP 33086 ,0.17 ,-0.14 ,-0.13 ,0.04 ,-0.1 ,,0.15 ,0.07 ,103.3592252 ,21.7182207 ,-41.256 ,173.721 ,71.121 ,192.20 ,thin ,K0 ,8.29 ,0.980 ,-80.70 ,-36.00 ,-7.80 ,4898.0 ,,,6.17 ,
HIP 65855 ,-0.57 ,,,-0.31 ,-0.49 ,,-0.48 ,-0.62 ,202.4901661 ,6.0135295 ,-118.305 ,-48.980 ,13.488 ,128.75 ,thin ,K0 ,6.51 ,0.956 ,-35.60 ,29.40 ,-2.30 ,4819.0 ,2.44 ,,9.21 ,
HIP 65859 ,-0.15 ,-0.06 ,,-0.31 ,-0.12 ,,-0.13 ,0.05 ,202.4991071 ,10.3771624 ,-6.923 ,-2.867 ,1.372 ,7.62 ,thin ,M1.0V ,9.05 ,1.493 ,57.70 ,-8.20 ,-3.70 ,3697.0 ,4.74 ,0.50 ,0.50 ,
HIP 33094 ,0.063 ,0.204 ,0.145 ,0.2335 ,0.119 ,0.046 ,0.124 ,0.179 ,103.3914275 ,-28.5397933 ,-5.251 ,22.055 ,-12.330 ,25.81 ,thick ,G5V ,6.04 ,0.708 ,17.10 ,-95.20 ,-6.30 ,5621.0 ,4.12 ,1.00 ,1.59 ,
HIP 33109 ,0.02 ,0.075 ,0.04 ,0.01 ,0.005 ,,0.05 ,0.035 ,103.4367788 ,-9.5154642 ,-8.914 ,37.311 ,-6.430 ,38.90 ,thin ,F8.5V ,7.05 ,0.566 ,3.60 ,1.20 ,-12.20 ,6099.3 ,4.29 ,1.14 ,1.25 ,
HIP 343 ,0.175 ,,0.08 ,0.355 ,0.34 ,1.04 ,0.12 ,0.19 ,1.0824633 ,-16.5290378 ,97.480 ,1.842 ,-28.934 ,101.70 ,thin ,K0III ,5.78 ,1.084 ,-5.40 ,-25.10 ,-33.80 ,4770.8 ,2.60 ,,11.37 ,
